Sport,Year,Height
Athletics,1960,70.22723465176111
Athletics,1964,70.2789879691434
Athletics,1968,70.46203828180003
Athletics,1972,70.45007928225839
Athletics,1976,70.92115073375619
Athletics,1980,70.61593936271963
Athletics,1984,70.49570192614796
Athletics,1988,70.70148649643086
Athletics,1992,70.97925608460953
Athletics,1996,71.28233970753644
Athletics,2000,71.45168824235947
Athletics,2004,71.5019651504378
Athletics,2008,71.4828144313702
Athletics,2012,71.59216532042002
Athletics,2016,71.22846057286321
Basketball,1960,74.14083005249344
Basketball,1964,74.77190351206102
Basketball,1968,74.75607668606645
Basketball,1972,76.1106506423539
Basketball,1976,77.03970514324004
Basketball,1980,77.33170677608962
Basketball,1984,77.78085837861813
Basketball,1988,77.65266229833155
Basketball,1992,78.55866420952705
Basketball,1996,78.42463840956047
Basketball,2000,78.54057305336829
Basketball,2004,78.78390201224845
Basketball,2008,78.77023184601924
Basketball,2012,78.99168853893262
Basketball,2016,78.93840397609871
Boxing,1960,67.36559615441318
Boxing,1964,67.35371313879881
Boxing,1968,67.21182393184456
Boxing,1972,67.14532793227431
Boxing,1976,67.8839714001267
Boxing,1980,67.4321959755031
Boxing,1984,67.92142053671863
Boxing,1988,67.85932846477088
Boxing,1992,68.53081078175805
Boxing,1996,68.55783652043495
Boxing,2000,68.5663054494425
Boxing,2004,68.58013716027432
Boxing,2008,68.83821126132821
Boxing,2012,69.20939181244876
Boxing,2016,69.00471123117973
Canoeing,1960,69.86846814602724
Canoeing,1964,70.29321894464688
Canoeing,1968,70.69506936632926
Canoeing,1972,70.40506262220579
Canoeing,1976,70.97484026617886
Canoeing,1980,71.74425777422984
Canoeing,1984,71.09425163056332
Canoeing,1988,71.86415946258465
Canoeing,1992,71.37906177220809
Canoeing,1996,71.72045304681751
Canoeing,2000,71.79618851991323
Canoeing,2004,71.75135716731053
Canoeing,2008,71.96574552384766
Canoeing,2012,71.82355046528272
Canoeing,2016,71.82146586515395
Cycling,1960,68.74183677277301
Cycling,1964,68.62387841054752
Cycling,1968,69.37335958005251
Cycling,1972,69.46690785273454
Cycling,1976,69.60759003485225
Cycling,1980,69.8689390799834
Cycling,1984,70.00122394027177
Cycling,1988,70.11485141538506
Cycling,1992,70.13788354930963
Cycling,1996,70.54845248304359
Cycling,2000,70.5963999511148
Cycling,2004,70.86878994385786
Cycling,2008,70.97716364630118
Cycling,2012,70.9436579494921
Cycling,2016,70.7359023303905
Diving,1960,67.21737907761528
Diving,1964,67.00511120320482
Diving,1968,67.9895859791719
Diving,1972,67.97698364627496
Diving,1976,68.01938219261054
Diving,1980,68.6237589866484
Diving,1984,67.69466316710407
Diving,1988,67.98395483583418
Diving,1992,67.51073729420187
Diving,1996,67.5605407814589
Diving,2000,67.3260354650791
Diving,2004,67.4851854858349
Diving,2008,67.48291078999745
Diving,2012,67.28473456946917
Diving,2016,67.70768822436526
Equestrianism,1960,69.0364244037841
Fencing,1960,69.87589866484083
Fencing,1964,69.87266240157477
Fencing,1968,70.43938210013819
Fencing,1972,70.89642640823745
Fencing,1976,71.04111986001749
Fencing,1980,71.16183261902391
Fencing,1984,71.2242745357764
Fencing,1988,71.30930241759975
Fencing,1992,71.71463480857997
Fencing,1996,71.82227221597299
Fencing,2000,72.15866884563955
Fencing,2004,72.009842519685
Fencing,2008,72.5085744650017
Fencing,2012,72.22662255975403
Fencing,2016,72.33503706773499
Football,1960,68.42556138815982
Football,1964,68.5727808614087
Football,1968,68.49915521693389
Football,1972,69.17516457983736
Football,1976,69.03406876120688
Football,1980,69.56513958482464
Football,1984,70.00445699004608
Football,1988,70.726807297236
Football,1992,70.77207163263891
Football,1996,70.50497820003906
Football,2000,70.54318405511805
Football,2004,70.8007905894354
Football,2008,71.1118455083626
Football,2012,70.70777337043405
Football,2016,70.66637503645377
Gymnastics,1960,66.39353862231769
Gymnastics,1964,66.23696252628127
Gymnastics,1968,66.30978058435767
Gymnastics,1972,66.37496734709084
Gymnastics,1976,66.26182518552075
Gymnastics,1980,66.3540827081654
Gymnastics,1984,65.53367535047222
Gymnastics,1988,65.92307256556975
Gymnastics,1992,65.66313976377947
Gymnastics,1996,65.49759882634758
Gymnastics,2000,65.55608703117726
Gymnastics,2004,65.68873184330218
Gymnastics,2008,65.58203873164513
Gymnastics,2012,65.63119126238252
Gymnastics,2016,65.92758541165618
Hockey,1960,68.70341207349081
Hockey,1964,68.7242649714657
Hockey,1968,68.82362204724406
Hockey,1972,68.90840305118112
Hockey,1976,69.38289690532872
Hockey,1980,68.62826357231661
Hockey,1984,69.52136600902416
Hockey,1988,69.52880889888768
Hockey,1992,70.47244094488194
Hockey,1996,70.34316605946653
Hockey,2000,70.29443792930138
Hockey,2004,70.14230643044618
Hockey,2008,70.42021533022657
Hockey,2012,70.65616797900267
Hockey,2016,70.8340028924956
Modern Pentathlon,1960,69.60346172944604
Modern Pentathlon,1964,69.98312710911136
Modern Pentathlon,1968,69.89670646007961
Modern Pentathlon,1972,70.06516426825962
Modern Pentathlon,1976,70.84844731487213
Modern Pentathlon,1980,70.87636772676144
Modern Pentathlon,1984,70.3650680028633
Modern Pentathlon,1988,70.86939545779921
Modern Pentathlon,1992,71.18659586156386
Modern Pentathlon,1996,70.76014536644456
Modern Pentathlon,2000,71.53871391076115
Modern Pentathlon,2004,71.45669291338582
Modern Pentathlon,2008,71.74103237095363
Modern Pentathlon,2012,71.99256342957129
Modern Pentathlon,2016,71.86132983377077
Rowing,1960,71.6397637795276
Rowing,1964,72.01434430724024
Rowing,1968,72.5575155060925
Rowing,1972,72.91796374290428
Rowing,1976,73.33891334449332
Rowing,1980,73.49121375072016
Rowing,1984,73.7903685952299
Rowing,1988,74.11127836961548
Rowing,1992,74.72665916760397
Rowing,1996,74.61205507206333
Rowing,2000,74.6304361818532
Rowing,2004,74.61927835943578
Rowing,2008,74.80205599300083
Rowing,2012,74.74387079455973
Rowing,2016,74.75781436411357
Sailing,1984,69.7804819852064
Sailing,1988,69.41247728649303
Sailing,1992,70.75147160003063
Sailing,1996,70.52084677939855
Sailing,2000,70.634553033812
Sailing,2004,71.4178584819755
Sailing,2008,71.51059242594677
Sailing,2012,71.93834813201536
Sailing,2016,71.49887514060745
Shooting,1960,68.53045571376111
Shooting,1964,68.38955096829103
Shooting,1984,68.76683167047109
Shooting,1988,69.56421395601399
Shooting,1992,69.49146981627294
Shooting,1996,69.83767737588951
Shooting,2000,69.98189397448313
Shooting,2004,69.94275437018837
Shooting,2008,70.03718285214345
Shooting,2012,69.8566833109275
Shooting,2016,70.02764035026587
Swimming,1960,70.44094488188972
Swimming,1964,70.58992341219313
Swimming,1968,70.80933065185008
Swimming,1972,71.38056949829891
Swimming,1976,71.6656200183566
Swimming,1980,72.02112176736198
Swimming,1984,72.08874228559242
Swimming,1988,72.49653108648022
Swimming,1992,73.20620826651957
Swimming,1996,73.69445898088077
Swimming,2000,73.47836675054772
Swimming,2004,73.4088486379474
Swimming,2008,73.50825332879899
Swimming,2012,73.63565923940342
Swimming,2016,73.75761638435584
Water Polo,1960,71.66770520591402
Water Polo,1964,71.63095391764556
Water Polo,1968,71.90142898804315
Water Polo,1972,71.9823729420186
Water Polo,1976,72.73847448458257
Water Polo,1980,73.1532127186392
Water Polo,1984,73.32875336891614
Water Polo,1988,73.4367762853173
Water Polo,1992,74.1616888406191
Water Polo,1996,74.8164953957027
Water Polo,2000,74.82630847614635
Water Polo,2004,75.07158196134576
Water Polo,2008,75.3255107817405
Water Polo,2012,75.89027178054357
Water Polo,2016,75.34001431639224
Weightlifting,1960,66.14419291338581
Weightlifting,1964,66.34690029943445
Weightlifting,1968,66.24956116154272
Weightlifting,1972,65.94172386205734
Weightlifting,1976,65.69507758898561
Weightlifting,1980,66.25677472134167
Weightlifting,1984,66.16372674086135
Weightlifting,1988,66.69030115311409
Weightlifting,1992,67.39103478206961
Weightlifting,1996,66.84624948197269
Weightlifting,2000,66.9646939293879
Weightlifting,2004,67.2523573442209
Weightlifting,2008,66.62704897736842
Weightlifting,2012,67.29873051582844
Weightlifting,2016,67.26326150020722
Wrestling,1960,67.35785710835218
Wrestling,1964,67.68531088786308
Wrestling,1968,67.6986399427344
Wrestling,1972,67.34242174952008
Wrestling,1976,67.58530183727028
Wrestling,1980,67.87526065170707
Wrestling,1984,67.83042744656912
Wrestling,1988,67.79473627440399
Wrestling,1992,68.04226833209363
Wrestling,1996,68.26402559055113
Wrestling,2000,68.7202837664461
Wrestling,2004,68.81105068052054
Wrestling,2008,68.80667443645359
Wrestling,2012,68.96963755017
Wrestling,2016,69.29975099266439
